preds;Attrition_Flag;Customer_Age;Education_Level;Income_Category;Card_Category;Credit_Limit;Avg_Utilization_Ratio;Gender
Client desabonne;Client desabonne;56;Doctorate;$60K - $80K;Blue;2283.0;0.626;M
Client desabonne;Client desabonne;59;Doctorate;$40K - $60K;Blue;2548.0;0.7929999999999999;M
Client desabonne;Client desabonne;46;High School;$80K - $120K;Blue;19458.0;0.07400000000000001;M
Client desabonne;Client desabonne;52;College;$80K - $120K;Blue;4745.0;0.259;M
Client desabonne;Client abonne;54;Graduate;Less than $40K;Blue;1438.3;0.562;F
Client desabonne;Client desabonne;66;High School;Less than $40K;Blue;3171.0;0.687;F
Client desabonne;Client abonne;56;Graduate;$120K +;Blue;15769.0;0.0;M
Client desabonne;Client desabonne;49;Graduate;Less than $40K;Blue;2802.0;0.843;F
Client desabonne;Client desabonne;56;Uneducated;$40K - $60K;Blue;4458.0;0.42200000000000004;M
Client desabonne;Client desabonne;42;High School;$60K - $80K;Blue;3336.0;0.525;M
Client abonne;Client abonne;48;Graduate;$60K - $80K;Silver;34516.0;0.0;M
Client desabonne;Client desabonne;39;High School;$60K - $80K;Blue;5926.0;0.21100000000000002;M
Client desabonne;Client desabonne;44;Post-Graduate;$120K +;Blue;23957.0;0.08800000000000001;M
Client desabonne;Client desabonne;53;High School;$120K +;Blue;14734.0;0.111;M
Client desabonne;Client desabonne;51;Uneducated;$80K - $120K;Silver;34516.0;0.044000000000000004;M
Client desabonne;Client desabonne;57;College;$60K - $80K;Blue;6584.0;0.276;M
Client desabonne;Client desabonne;44;Uneducated;Less than $40K;Blue;2084.0;0.7040000000000001;F
Client desabonne;Client desabonne;49;Graduate;$60K - $80K;Blue;1687.0;0.6559999999999999;M
Client desabonne;Client desabonne;50;Doctorate;$80K - $120K;Blue;25300.0;0.053;M
Client desabonne;Client desabonne;51;Graduate;$120K +;Blue;34516.0;0.051;M
Client desabonne;Client desabonne;55;Graduate;Less than $40K;Blue;2216.0;0.467;F
Client desabonne;Client desabonne;42;Uneducated;$80K - $120K;Blue;22913.0;0.067;M
Client desabonne;Client desabonne;44;College;$60K - $80K;Blue;24312.0;0.079;M
Client desabonne;Client desabonne;53;Graduate;$80K - $120K;Blue;5272.0;0.287;M
Client desabonne;Client desabonne;44;Graduate;Less than $40K;Blue;7000.0;0.36;F
Client desabonne;Client desabonne;37;Uneducated;Less than $40K;Blue;7038.0;0.256;F
Client desabonne;Client desabonne;49;Graduate;$60K - $80K;Blue;2536.0;0.7190000000000001;M
Client desabonne;Client desabonne;47;Graduate;$80K - $120K;Blue;28904.0;0.066;M
Client desabonne;Client desabonne;47;Graduate;$60K - $80K;Blue;8567.0;0.198;M
Client desabonne;Client desabonne;53;Graduate;$80K - $120K;Blue;34516.0;0.035;M
Client desabonne;Client desabonne;52;Graduate;$60K - $80K;Blue;3085.0;0.619;M
Client desabonne;Client desabonne;53;High School;$120K +;Blue;19040.0;0.10800000000000001;M
Client desabonne;Client desabonne;43;Uneducated;Less than $40K;Blue;4026.0;0.0;F
Client desabonne;Client desabonne;44;High School;$60K - $80K;Blue;12756.0;0.066;M
Client desabonne;Client desabonne;51;High School;Less than $40K;Blue;9930.0;0.0;F
Client desabonne;Client desabonne;49;High School;$80K - $120K;Blue;31302.0;0.062;M
Client desabonne;Client desabonne;45;Graduate;$40K - $60K;Blue;6576.0;0.0;M
Client desabonne;Client desabonne;53;Graduate;$80K - $120K;Blue;2664.0;0.765;M
Client desabonne;Client desabonne;64;Graduate;Less than $40K;Blue;1709.0;0.524;M
Client desabonne;Client desabonne;45;Graduate;$40K - $60K;Blue;3454.0;0.34700000000000003;M
Client desabonne;Client desabonne;53;Doctorate;$40K - $60K;Blue;3789.0;0.45;M
Client desabonne;Client desabonne;56;College;$120K +;Blue;9689.0;0.23199999999999998;M
Client desabonne;Client desabonne;53;Graduate;$120K +;Blue;2940.0;0.43;M
Client desabonne;Client desabonne;44;Graduate;Less than $40K;Blue;3031.0;0.62;F
Client desabonne;Client desabonne;43;Post-Graduate;Less than $40K;Blue;8358.0;0.111;F
Client desabonne;Client desabonne;53;Post-Graduate;$120K +;Blue;34516.0;0.027000000000000003;M
Client desabonne;Client desabonne;44;Uneducated;$60K - $80K;Blue;14450.0;0.16899999999999998;M
Client desabonne;Client desabonne;57;Graduate;$60K - $80K;Blue;8466.0;0.223;M
Client desabonne;Client desabonne;42;High School;$60K - $80K;Blue;3263.0;0.513;M
Client desabonne;Client desabonne;54;Uneducated;Less than $40K;Blue;1494.0;0.473;F
Client desabonne;Client desabonne;48;Graduate;$80K - $120K;Blue;13551.0;0.095;M
Client desabonne;Client desabonne;49;Graduate;$80K - $120K;Blue;18886.0;0.047;M
Client desabonne;Client desabonne;50;High School;$80K - $120K;Blue;9964.0;0.156;M
Client desabonne;Client desabonne;49;Doctorate;$60K - $80K;Blue;24159.0;0.05;M
Client desabonne;Client desabonne;53;High School;Less than $40K;Blue;5362.0;0.355;F
Client desabonne;Client desabonne;50;Graduate;$120K +;Blue;34516.0;0.03;M
Client desabonne;Client desabonne;55;Doctorate;Less than $40K;Blue;3174.0;0.615;F
Client desabonne;Client desabonne;53;High School;$80K - $120K;Blue;12262.0;0.15;M
Client desabonne;Client desabonne;47;High School;$40K - $60K;Blue;3788.0;0.40700000000000003;F
Client desabonne;Client desabonne;55;College;$120K +;Silver;34516.0;0.044000000000000004;M
Client desabonne;Client desabonne;47;Graduate;$60K - $80K;Blue;2926.0;0.0;M
Client desabonne;Client desabonne;58;Graduate;$120K +;Blue;32090.0;0.0;M
Client abonne;Client abonne;53;Graduate;$80K - $120K;Blue;11669.0;0.191;M
Client desabonne;Client desabonne;52;High School;$40K - $60K;Blue;13532.0;0.096;M
Client desabonne;Client desabonne;42;Graduate;Less than $40K;Blue;2393.0;0.83;F
Client desabonne;Client desabonne;57;Graduate;$80K - $120K;Blue;19270.0;0.086;M
Client desabonne;Client desabonne;52;Graduate;$80K - $120K;Blue;3710.0;0.6779999999999999;M
Client desabonne;Client desabonne;47;Doctorate;Less than $40K;Blue;3235.0;0.24600000000000002;M
Client desabonne;Client desabonne;44;Graduate;$40K - $60K;Blue;11749.0;0.067;F
Client desabonne;Client desabonne;53;High School;$60K - $80K;Blue;7753.0;0.271;M
Client desabonne;Client desabonne;45;College;$60K - $80K;Blue;10408.0;0.114;M
Client desabonne;Client desabonne;39;Post-Graduate;Less than $40K;Blue;6205.0;0.406;F
Client abonne;Client abonne;48;High School;Less than $40K;Blue;8025.0;0.0;F
Client desabonne;Client desabonne;54;Graduate;$80K - $120K;Blue;14926.0;0.16899999999999998;M
Client desabonne;Client desabonne;59;Graduate;Less than $40K;Blue;6335.0;0.17800000000000002;F
Client abonne;Client abonne;59;College;$60K - $80K;Blue;14979.0;0.0;M
Client abonne;Client abonne;48;Uneducated;Less than $40K;Blue;2732.0;0.0;F
Client desabonne;Client desabonne;41;Graduate;Less than $40K;Blue;2250.0;0.941;F
Client desabonne;Client desabonne;55;Graduate;$120K +;Blue;10916.0;0.141;M
Client desabonne;Client desabonne;41;High School;$80K - $120K;Blue;9366.0;0.11800000000000001;M
Client desabonne;Client desabonne;40;High School;$80K - $120K;Blue;21617.0;0.0;M
Client desabonne;Client desabonne;50;Graduate;$40K - $60K;Silver;18386.0;0.0;F
Client desabonne;Client desabonne;47;Uneducated;$60K - $80K;Blue;2405.0;0.64;M
Client desabonne;Client desabonne;53;College;Less than $40K;Blue;2154.0;0.43200000000000005;F
Client desabonne;Client desabonne;48;High School;$40K - $60K;Blue;8135.0;0.0;F
Client desabonne;Client desabonne;49;Doctorate;$120K +;Blue;9364.0;0.066;M
Client desabonne;Client desabonne;43;Graduate;Less than $40K;Blue;3195.0;0.612;F
Client desabonne;Client desabonne;56;High School;$80K - $120K;Blue;2852.0;0.359;M
Client desabonne;Client desabonne;46;Uneducated;$60K - $80K;Blue;20459.0;0.10099999999999999;M
Client desabonne;Client desabonne;50;Uneducated;$40K - $60K;Blue;3065.0;0.512;F
Client desabonne;Client desabonne;51;Uneducated;Less than $40K;Blue;2185.0;0.8059999999999999;F
Client desabonne;Client desabonne;47;Uneducated;Less than $40K;Blue;1611.0;0.46299999999999997;F
Client desabonne;Client desabonne;58;Uneducated;Less than $40K;Blue;2822.0;0.77;F
Client abonne;Client abonne;46;Graduate;$80K - $120K;Blue;32975.0;0.076;M
Client desabonne;Client desabonne;53;High School;$60K - $80K;Blue;1438.3;0.0;M
Client desabonne;Client desabonne;52;High School;Less than $40K;Blue;6703.0;0.133;F
Client desabonne;Client desabonne;50;High School;$80K - $120K;Silver;34516.0;0.037000000000000005;M
Client desabonne;Client desabonne;41;High School;$40K - $60K;Blue;9797.0;0.146;F
Client desabonne;Client desabonne;45;Graduate;$40K - $60K;Blue;10400.0;0.171;F
Client desabonne;Client desabonne;53;Uneducated;$80K - $120K;Blue;26792.0;0.069;M
Client desabonne;Client desabonne;67;Graduate;Less than $40K;Blue;3006.0;0.8370000000000001;F
Client desabonne;Client desabonne;57;Uneducated;$40K - $60K;Silver;19482.0;0.055;F
Client desabonne;Client desabonne;59;Uneducated;$40K - $60K;Blue;3356.0;0.294;F
Client desabonne;Client desabonne;45;Uneducated;$40K - $60K;Blue;5771.0;0.39;M
Client desabonne;Client desabonne;51;Graduate;$80K - $120K;Blue;11106.0;0.19;M
Client desabonne;Client desabonne;59;Uneducated;Less than $40K;Blue;2890.0;0.6920000000000001;F
Client desabonne;Client desabonne;53;Graduate;$60K - $80K;Blue;3380.0;0.503;M
Client desabonne;Client desabonne;47;Graduate;$60K - $80K;Blue;21331.0;0.059000000000000004;M
Client desabonne;Client desabonne;49;Post-Graduate;$80K - $120K;Blue;6278.0;0.07400000000000001;M
Client desabonne;Client desabonne;60;College;Less than $40K;Blue;1438.3;0.513;F
Client desabonne;Client desabonne;50;High School;Less than $40K;Blue;9355.0;0.174;F
Client desabonne;Client desabonne;57;Graduate;$80K - $120K;Blue;14612.0;0.135;M
Client desabonne;Client desabonne;57;Graduate;Less than $40K;Blue;6347.0;0.251;F
Client desabonne;Client desabonne;54;Doctorate;$120K +;Blue;21592.0;0.078;M
Client desabonne;Client desabonne;51;Post-Graduate;Less than $40K;Blue;3449.0;0.46299999999999997;F
Client desabonne;Client desabonne;47;High School;Less than $40K;Blue;6028.0;0.133;F
Client desabonne;Client desabonne;53;Uneducated;$80K - $120K;Blue;16393.0;0.087;M
Client desabonne;Client abonne;68;High School;Less than $40K;Blue;1438.3;0.626;M
Client desabonne;Client desabonne;59;College;$60K - $80K;Blue;7871.0;0.214;M
Client desabonne;Client desabonne;44;Graduate;$60K - $80K;Blue;11376.0;0.17600000000000002;M
Client desabonne;Client desabonne;48;College;$80K - $120K;Blue;12302.0;0.133;M
Client desabonne;Client desabonne;47;Graduate;$60K - $80K;Silver;34516.0;0.049;M
Client desabonne;Client desabonne;47;Graduate;$60K - $80K;Silver;34516.0;0.043;M
Client desabonne;Client desabonne;43;High School;Less than $40K;Silver;10514.0;0.15;F
Client abonne;Client abonne;55;Graduate;Less than $40K;Blue;1438.3;0.0;F
Client abonne;Client abonne;59;Post-Graduate;$60K - $80K;Blue;1438.3;0.0;M
Client desabonne;Client desabonne;63;Graduate;$40K - $60K;Blue;2619.0;0.679;M
Client desabonne;Client desabonne;58;College;$120K +;Blue;24407.0;0.098;M
Client desabonne;Client desabonne;53;High School;Less than $40K;Blue;2377.0;0.6940000000000001;F
Client desabonne;Client desabonne;52;Graduate;$120K +;Blue;11086.0;0.19899999999999998;M
Client desabonne;Client desabonne;48;High School;$60K - $80K;Blue;11432.0;0.22;M
Client desabonne;Client desabonne;43;High School;$40K - $60K;Blue;13258.0;0.13;M
Client desabonne;Client desabonne;48;College;Less than $40K;Blue;2571.0;0.76;M
Client desabonne;Client desabonne;43;Graduate;Less than $40K;Blue;5781.0;0.20199999999999999;F
Client desabonne;Client desabonne;41;High School;$80K - $120K;Blue;34516.0;0.035;M
Client desabonne;Client desabonne;44;Uneducated;Less than $40K;Silver;11127.0;0.165;F
Client desabonne;Client desabonne;60;Uneducated;Less than $40K;Blue;1913.0;0.665;F
Client desabonne;Client desabonne;44;Graduate;$80K - $120K;Blue;3839.0;0.598;M
Client desabonne;Client desabonne;48;Graduate;$40K - $60K;Blue;2115.0;0.539;F
Client desabonne;Client desabonne;44;Graduate;Less than $40K;Blue;1438.3;0.47200000000000003;F
Client desabonne;Client desabonne;41;High School;$80K - $120K;Blue;27756.0;0.064;M
Client desabonne;Client desabonne;45;College;$60K - $80K;Blue;1438.3;0.0;M
Client desabonne;Client desabonne;47;Uneducated;Less than $40K;Silver;13878.0;0.16;F
Client desabonne;Client desabonne;51;Graduate;Less than $40K;Blue;3106.0;0.42;F
Client desabonne;Client desabonne;51;Graduate;$120K +;Blue;34516.0;0.048;M
Client desabonne;Client abonne;60;Uneducated;$40K - $60K;Blue;1438.3;0.713;F
Client desabonne;Client desabonne;41;Graduate;$120K +;Blue;5207.0;0.336;M
Client desabonne;Client desabonne;44;Post-Graduate;$80K - $120K;Blue;17965.0;0.092;M
Client desabonne;Client desabonne;43;College;$60K - $80K;Blue;2733.0;0.6659999999999999;M
Client desabonne;Client desabonne;55;College;$60K - $80K;Blue;8863.0;0.147;M
Client abonne;Client abonne;52;Uneducated;$80K - $120K;Blue;1857.0;0.987;M
Client desabonne;Client desabonne;41;Uneducated;$40K - $60K;Blue;11107.0;0.11;M
Client desabonne;Client desabonne;39;High School;$80K - $120K;Blue;5269.0;0.28;M
Client abonne;Client abonne;49;College;$40K - $60K;Blue;1438.3;0.0;M
Client abonne;Client abonne;45;College;Less than $40K;Blue;3387.0;0.0;F
Client desabonne;Client desabonne;54;Graduate;$80K - $120K;Blue;1982.0;0.65;M
Client desabonne;Client desabonne;49;Uneducated;$80K - $120K;Blue;4645.0;0.355;M
Client abonne;Client abonne;46;High School;$120K +;Blue;2442.0;0.0;M
Client desabonne;Client desabonne;47;Graduate;$60K - $80K;Blue;21304.0;0.07200000000000001;M
Client desabonne;Client desabonne;44;Doctorate;$60K - $80K;Blue;7577.0;0.327;M
Client desabonne;Client desabonne;50;Post-Graduate;$120K +;Blue;3234.0;0.45899999999999996;M
Client desabonne;Client desabonne;73;High School;$40K - $60K;Blue;4469.0;0.252;M
Client abonne;Client abonne;59;High School;$40K - $60K;Blue;3616.0;0.29100000000000004;M
Client desabonne;Client desabonne;70;High School;Less than $40K;Blue;3252.0;0.46;M
Client desabonne;Client desabonne;55;High School;Less than $40K;Blue;2358.0;0.489;F
Client desabonne;Client desabonne;45;Uneducated;$120K +;Blue;3133.0;0.48200000000000004;M
Client desabonne;Client desabonne;45;Uneducated;$40K - $60K;Blue;3540.0;0.24;F
Client desabonne;Client desabonne;40;Graduate;$40K - $60K;Blue;6990.0;0.19699999999999998;M
Client desabonne;Client abonne;59;Post-Graduate;$40K - $60K;Blue;1438.3;0.0;F
Client desabonne;Client desabonne;41;Uneducated;$40K - $60K;Blue;5214.0;0.152;M
Client desabonne;Client desabonne;51;Graduate;Less than $40K;Blue;5207.0;0.317;F
Client abonne;Client abonne;64;High School;$40K - $60K;Blue;3353.0;0.0;F
Client desabonne;Client desabonne;54;Graduate;$60K - $80K;Blue;2290.0;0.626;M
Client desabonne;Client desabonne;40;Uneducated;$60K - $80K;Blue;23603.0;0.0;M
Client desabonne;Client desabonne;57;Uneducated;$40K - $60K;Blue;2601.0;0.0;M
Client desabonne;Client desabonne;45;Graduate;$80K - $120K;Blue;6363.0;0.162;M
Client desabonne;Client desabonne;41;High School;$80K - $120K;Blue;8029.0;0.196;M
Client desabonne;Client desabonne;42;Uneducated;Less than $40K;Blue;2410.0;0.7340000000000001;F
Client abonne;Client abonne;45;Graduate;$60K - $80K;Blue;3401.0;0.0;M
Client desabonne;Client desabonne;42;Uneducated;Less than $40K;Blue;2260.0;0.446;F
Client desabonne;Client desabonne;47;Uneducated;$80K - $120K;Blue;17682.0;0.14;M
Client desabonne;Client desabonne;48;High School;$40K - $60K;Blue;4206.0;0.262;F
Client desabonne;Client desabonne;43;Graduate;$80K - $120K;Silver;34516.0;0.042;M
Client desabonne;Client desabonne;54;Uneducated;$40K - $60K;Blue;5556.0;0.308;F
Client desabonne;Client desabonne;61;Graduate;$40K - $60K;Blue;2939.0;0.68;M
Client desabonne;Client desabonne;61;Uneducated;$80K - $120K;Blue;5362.0;0.23800000000000002;M
Client abonne;Client abonne;48;High School;$120K +;Blue;27126.0;0.0;M
Client desabonne;Client desabonne;45;Graduate;Less than $40K;Blue;3342.0;0.753;F
Client desabonne;Client desabonne;44;Graduate;$60K - $80K;Blue;14546.0;0.11699999999999999;M
Client desabonne;Client desabonne;55;Doctorate;$60K - $80K;Blue;16427.0;0.102;M
Client desabonne;Client desabonne;45;College;$60K - $80K;Blue;23218.0;0.078;M
Client desabonne;Client desabonne;60;High School;$40K - $60K;Blue;3281.0;0.255;M
Client desabonne;Client desabonne;55;High School;$40K - $60K;Blue;3096.0;0.716;M
Client desabonne;Client desabonne;62;High School;$40K - $60K;Blue;2052.0;0.609;F
Client desabonne;Client desabonne;46;High School;$40K - $60K;Blue;9432.0;0.15;M
Client desabonne;Client desabonne;50;High School;$120K +;Silver;14938.0;0.154;M
Client desabonne;Client desabonne;45;Uneducated;$60K - $80K;Blue;2221.0;0.605;M
Client desabonne;Client desabonne;47;Post-Graduate;$60K - $80K;Blue;5731.0;0.275;M
Client desabonne;Client desabonne;48;College;$60K - $80K;Gold;34516.0;0.06;M
Client desabonne;Client desabonne;35;Uneducated;$60K - $80K;Blue;6985.0;0.162;M
Client desabonne;Client desabonne;51;Graduate;$120K +;Blue;24221.0;0.07;M
Client desabonne;Client desabonne;47;Graduate;$80K - $120K;Blue;21637.0;0.094;M
Client desabonne;Client desabonne;52;Graduate;$120K +;Blue;14543.0;0.0;M
Client desabonne;Client desabonne;43;Uneducated;Less than $40K;Blue;9684.0;0.256;F
Client desabonne;Client desabonne;63;High School;$40K - $60K;Blue;5007.0;0.18600000000000003;M
Client desabonne;Client desabonne;61;Graduate;$60K - $80K;Blue;1616.0;0.648;M
Client abonne;Client desabonne;53;Uneducated;$60K - $80K;Blue;19116.0;0.0;M
Client desabonne;Client desabonne;53;Graduate;Less than $40K;Blue;2759.0;0.8059999999999999;F
Client abonne;Client abonne;57;Graduate;$120K +;Blue;8249.0;0.16699999999999998;M
Client desabonne;Client desabonne;53;High School;$60K - $80K;Blue;5264.0;0.41200000000000003;M
Client desabonne;Client desabonne;49;High School;Less than $40K;Blue;2826.0;0.732;F
Client desabonne;Client desabonne;45;High School;$80K - $120K;Blue;12518.0;0.12300000000000001;M
Client desabonne;Client desabonne;67;Graduate;$40K - $60K;Blue;5876.0;0.221;M
Client desabonne;Client desabonne;48;Graduate;$80K - $120K;Silver;34516.0;0.0;M
Client desabonne;Client desabonne;51;Uneducated;Less than $40K;Blue;9648.0;0.2;F
Client desabonne;Client desabonne;52;High School;$80K - $120K;Silver;34516.0;0.063;M
Client desabonne;Client desabonne;34;High School;$60K - $80K;Blue;3265.0;0.7709999999999999;M
Client desabonne;Client desabonne;56;Uneducated;$120K +;Blue;6041.0;0.22399999999999998;M
Client desabonne;Client desabonne;44;Post-Graduate;Less than $40K;Blue;2293.0;0.795;F
Client desabonne;Client desabonne;43;Graduate;$40K - $60K;Blue;3378.0;0.316;F
Client desabonne;Client desabonne;50;Graduate;Less than $40K;Blue;5012.0;0.447;F
Client desabonne;Client desabonne;38;Uneducated;Less than $40K;Blue;2569.0;0.625;F
Client desabonne;Client desabonne;53;Graduate;Less than $40K;Blue;3471.0;0.514;F
Client desabonne;Client desabonne;43;Graduate;$120K +;Silver;34516.0;0.049;M
Client desabonne;Client desabonne;53;High School;$120K +;Blue;3312.0;0.557;M
Client desabonne;Client desabonne;56;Graduate;Less than $40K;Blue;2578.0;0.955;F
Client desabonne;Client desabonne;57;High School;Less than $40K;Blue;2742.0;0.846;F
Client desabonne;Client desabonne;62;High School;Less than $40K;Blue;2077.0;0.7559999999999999;M
Client desabonne;Client desabonne;46;Graduate;Less than $40K;Blue;6265.0;0.31;F
Client desabonne;Client desabonne;49;Uneducated;$60K - $80K;Blue;7819.0;0.2;M
Client desabonne;Client desabonne;52;Graduate;$80K - $120K;Blue;2731.0;0.62;M
Client abonne;Client abonne;58;Uneducated;$40K - $60K;Blue;1438.3;0.373;M
Client desabonne;Client desabonne;54;High School;$80K - $120K;Blue;16286.0;0.105;M
Client abonne;Client desabonne;49;Graduate;$120K +;Blue;34516.0;0.0;M
Client desabonne;Client desabonne;58;High School;Less than $40K;Blue;2609.0;0.935;F
Client desabonne;Client desabonne;52;High School;$60K - $80K;Blue;7567.0;0.155;M
Client desabonne;Client desabonne;41;High School;$60K - $80K;Blue;22770.0;0.111;M
Client desabonne;Client desabonne;62;Uneducated;Less than $40K;Blue;3791.0;0.435;F
Client desabonne;Client desabonne;54;Graduate;Less than $40K;Blue;2702.0;0.932;M
Client desabonne;Client desabonne;40;High School;Less than $40K;Blue;2555.0;0.8290000000000001;F
Client desabonne;Client desabonne;43;Graduate;$80K - $120K;Blue;2355.0;0.46299999999999997;M
Client desabonne;Client desabonne;53;Graduate;$40K - $60K;Blue;5332.0;0.0;F
Client desabonne;Client desabonne;55;Uneducated;$40K - $60K;Blue;1443.0;0.953;M
Client desabonne;Client desabonne;46;Graduate;$60K - $80K;Blue;10741.0;0.07;M
Client desabonne;Client desabonne;41;Uneducated;$60K - $80K;Blue;7984.0;0.188;M
Client desabonne;Client desabonne;49;Uneducated;$60K - $80K;Blue;18584.0;0.135;M
Client desabonne;Client desabonne;46;Uneducated;$80K - $120K;Blue;34516.0;0.063;M
Client desabonne;Client desabonne;50;Uneducated;Less than $40K;Blue;1438.3;0.0;F
Client desabonne;Client desabonne;40;Graduate;$80K - $120K;Blue;2478.0;0.82;M
Client desabonne;Client desabonne;51;High School;$120K +;Blue;34516.0;0.066;M
Client desabonne;Client desabonne;50;Graduate;$40K - $60K;Blue;2339.0;0.616;F
Client desabonne;Client desabonne;47;Graduate;Less than $40K;Blue;2726.0;0.0;F
Client desabonne;Client desabonne;36;Graduate;$40K - $60K;Blue;1628.0;0.595;F
Client desabonne;Client desabonne;47;Graduate;Less than $40K;Blue;3156.0;0.521;F
Client desabonne;Client desabonne;46;Graduate;Less than $40K;Blue;4745.0;0.268;F
Client desabonne;Client desabonne;46;High School;$120K +;Blue;19727.0;0.09;M
Client desabonne;Client desabonne;52;Uneducated;$60K - $80K;Blue;22720.0;0.035;M
Client desabonne;Client desabonne;40;Graduate;Less than $40K;Blue;3751.0;0.405;F
Client desabonne;Client desabonne;54;High School;Less than $40K;Blue;1594.0;0.885;F
Client desabonne;Client desabonne;55;High School;Less than $40K;Blue;2569.0;0.546;F
Client desabonne;Client desabonne;45;High School;$40K - $60K;Blue;3104.0;0.569;M
Client desabonne;Client desabonne;49;Graduate;$40K - $60K;Blue;2406.0;0.648;M
Client desabonne;Client desabonne;63;Uneducated;$80K - $120K;Blue;24571.0;0.08;M
Client desabonne;Client desabonne;40;High School;Less than $40K;Gold;15534.0;0.047;F
Client desabonne;Client desabonne;41;Graduate;Less than $40K;Silver;12301.0;0.183;F
Client desabonne;Client desabonne;37;Graduate;$80K - $120K;Blue;2846.0;0.639;M
Client desabonne;Client desabonne;55;High School;$60K - $80K;Blue;7231.0;0.32899999999999996;M
Client desabonne;Client desabonne;53;High School;Less than $40K;Blue;2324.0;0.6779999999999999;F
Client desabonne;Client desabonne;57;Graduate;$80K - $120K;Blue;12208.0;0.162;M
Client desabonne;Client desabonne;58;Graduate;$60K - $80K;Blue;10021.0;0.161;M
Client desabonne;Client desabonne;54;Graduate;Less than $40K;Blue;2027.0;0.73;F
Client desabonne;Client desabonne;53;Graduate;$60K - $80K;Blue;6363.0;0.183;M
Client desabonne;Client desabonne;39;College;Less than $40K;Blue;3920.0;0.512;F
Client desabonne;Client desabonne;56;High School;$60K - $80K;Blue;9226.0;0.134;M
Client desabonne;Client desabonne;59;Post-Graduate;$40K - $60K;Blue;1944.0;0.6920000000000001;F
Client desabonne;Client desabonne;42;Uneducated;$40K - $60K;Blue;9599.0;0.162;M
Client desabonne;Client desabonne;42;Graduate;$60K - $80K;Silver;28202.0;0.03;M
Client desabonne;Client desabonne;55;High School;$120K +;Blue;3805.0;0.5870000000000001;M
Client desabonne;Client desabonne;52;Uneducated;$80K - $120K;Blue;2733.0;0.478;M
Client abonne;Client abonne;57;Uneducated;$120K +;Blue;3106.0;0.361;M
Client desabonne;Client desabonne;48;College;$80K - $120K;Blue;7477.0;0.0;M
Client desabonne;Client desabonne;48;High School;$120K +;Blue;29963.0;0.07;M
Client desabonne;Client desabonne;47;Graduate;$40K - $60K;Blue;6509.0;0.312;M
Client abonne;Client abonne;42;College;$60K - $80K;Blue;13450.0;0.0;M
Client desabonne;Client desabonne;51;College;$120K +;Silver;34516.0;0.036000000000000004;M
Client desabonne;Client desabonne;55;Graduate;Less than $40K;Blue;6347.0;0.0;F
Client desabonne;Client desabonne;67;Uneducated;$40K - $60K;Blue;3106.0;0.539;M
Client desabonne;Client desabonne;39;Graduate;$60K - $80K;Blue;2536.0;0.36;M
Client desabonne;Client desabonne;54;Post-Graduate;$60K - $80K;Blue;13048.0;0.15;M
